num,worktree,branch,date,verdict,confidence,land_effort,category,dirt,analysis
12,0gdd-handoff,docs/0gdd-handoff,2026-08-15,in-main,high,none,in-main,read-useful,"1,482-line handoff doc (unlanded commit 2aec62a10) + untracked 2,493-line observations doc - the SOLE surviving record of the Level 1 campaign (output destroyed by WSL reboot) and the hash-integrity index for the whole 0gdd family. Docs-only, matches docs/lab-notes/ convention - land-via-PR, then 0gdd-measurement/observer deletions become info-loss-free (after archive). PROTECTED 2026-08-23: observations doc committed as 20acc485d and branch docs/0gdd-handoff pushed - the sole surviving Level-1 record is no longer a single uncommitted file. Remaining value: land both docs on main via PR. LANDED 2026-08-24 as PR #683 (both docs merged). Worktree deletable. [useful dirt: docs/lab-notes/2026-08-16-0gdd-session-index-observations-only.md]"
13,session-delete-404,the-usual/session-delete-404,2026-08-15,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Session delete 404 fix
14,session-directory-lazy-page-prep,the-usual/session-directory-lazy-page-prep,2026-08-15,skipped-plan,high,none,skipped-plan,none,Plan + handoff docs only; no code at stake.
15,coding-agent-resource-containment,the-usual/coding-agent-resource-containment,2026-08-14,skipped-plan,medium,none,skipped-plan,none,"3,963-line hardened cgroup-v2 resource-containment plan, zero implementation; feature absent from main - kata candidate before deletion."
16,session-directory-page-prep,the-usual/session-directory-page-prep,2026-08-13,skipped-plan,high,none,skipped-plan,none,"10.4k-line plan only, no code."
17,0gdd-measurement,investigation/0gdd-measurement,2026-08-12,throw-away-useless,high,none,throw-away,read-useful,"Level-1 measurement bundle (env-gated FRESHELL_0GDD_* instrumentation, 818-line runner + 31-test suite) - explicitly do-not-merge per the 0gdd handoff; capability exists nowhere on main. ARCHIVE-IN-TRIAGE before deletion (its campaign output was destroyed by a WSL reboot; this source is the only re-derivation path). PROTECTED 2026-08-23: sources archived to triage-output/archive/0gdd-measurement/ (2 files + 3 patches) - now deletion-safe. [useful dirt: scripts/measure-0gdd-level1.ts; test/unit/scripts/measure-0gdd-level1.test.ts; crates/freshell-server/src/main.rs (diff); crates/freshell-server/src/auto_title_sweep.rs (diff); crates/freshell-sessions/src/directory_index.rs (diff)]"
18,0gdd-observer,investigation/0gdd-observer,2026-08-12,throw-away-useless,high,none,throw-away,read-useful,"180KB fs-event observer tool; OUTPUT is hash-verified archived outside the repo, but the SOURCE exists only in this worktree. Do-not-merge per handoff (function superseded by shipped SessionWatcher). ARCHIVE-IN-TRIAGE before deletion - it backs main's central quantitative claim (~98.2% watcher coverage). PROTECTED 2026-08-23: observer source archived to triage-output/archive/0gdd-observer/ - now deletion-safe. [useful dirt: crates/freshell-sessions/examples/observer_0gdd.rs]"
19,session-directory-page-bound,the-usual/session-directory-page-bound,2026-08-12,skipped-plan,high,none,skipped-plan,none,"8.3k-line plan only, no code."
20,codex-sidecar-lifecycle,the-usual/codex-sidecar-lifecycle,2026-08-11,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Codex sidecar lifecycle
21,df1-gate,df1/integration,2026-08-11,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Df1 integration gate
22,df1-retro,docs/df1-retrospective,2026-08-11,skipped-plan,high,none,skipped-plan,none,"103-line df1 campaign retrospective, unlanded; historical interest only."
23,amplifier-stuck-busy,the-usual/amplifier-stuck-busy,2026-08-10,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Amplifier stuck-busy fix
24,df1-cfg-01-lossless-writes,df1/cfg-01-lossless-writes,2026-08-10,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Df1 cfg-01 lossless writes
25,df1-fix-h06-a11y,df1/fix-h06-a11y,2026-08-10,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Df1 H06 a11y fix
26,df1-gate-final,DETACHED,2026-08-10,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Df1 final gate checkpoint
27,df1-restore-01-panel-inert,df1/restore-01-panel-inert,2026-08-10,in-main,high,none,in-main,unread,Merged ancestor. Same postmortem as df1-gate-01: gate01-baseline.json deleted unread (judged regenerable by name); the rule now blocks this.
28,df1-session-13-first-chat-exclusions,df1/session-13-first-chat-exclusions,2026-08-10,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Df1 session-13 exclusions
29,opencode-auto-titles,opencode-auto-titles,2026-08-10,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Opencode auto titles
30,rust-port-landing,feat/rust-port-mainline,2026-08-10,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Rust port mainline landing
31,rust-tauri-port,feat/rust-tauri-port,2026-08-10,in-main,high,none,in-main,read-useful,Merged (ancestor of origin/main; tauri direction superseded by the rust server). Dirt read-useful: 4 unique unlanded plan docs - archived to triage-output/archive/rust-tauri-port/ before worktree deletion. [useful dirt: docs/plans/2026-07-14-rust-tauri-parity-dependency-graph.dot; docs/plans/2026-07-14-rust-tauri-parity-dependency-graph.png; docs/plans/2026-07-16-session-actions-parity-fixes.md; docs/plans/2026-07-20-reconciliation-handshake-design.md]
32,sweep-deferrals-deflake,the-usual/sweep-deferrals-deflake,2026-08-10,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Sweep deferral deflake
33,cloud-run-jobs,the-usual/cloud-run-jobs,2026-08-09,in-main,high,none,in-main,none,"Landed as PR #628; main iterated 4+ times beyond (vitest-cloud lane, gcloud-robot identity ladder #678, commit-addressed image tags, per-run job naming). Every diff line vs main is a main-side improvement; zero residue."
34,df1-auto-01-layout-sync-auth,df1/auto-01-layout-sync-auth,2026-08-09,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Df1 auto-01 layout sync auth
35,df1-browser-01-same-origin-proxy,df1/browser-01-same-origin-proxy,2026-08-09,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Df1 browser-01 same-origin proxy
36,df1-cfg-04-browser-seed,df1/cfg-04-browser-seed,2026-08-09,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Df1 cfg-04 browser seed
37,df1-cfg-12-settings-split,df1/cfg-12-settings-split,2026-08-09,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Df1 cfg-12 settings split
38,df1-control,df1/control-plane,2026-08-09,throw-away-useless,high,none,throw-away,none,"df1 campaign control-plane litter (leases/queue/prompts), not product code; branch already pushed to origin so deletion loses nothing."
39,df1-diag-01-jsonl-logs,df1/diag-01-jsonl-logs,2026-08-09,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Df1 diag-01 jsonl logs
40,df1-ext-01-manifest-schema,df1/ext-01-manifest-schema,2026-08-09,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Df1 ext-01 manifest schema
41,df1-fix-split87,df1/fix-split87-annotation,2026-08-09,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Df1 split87 annotation fix
42,df1-gate-01-unchanged-suite-both,df1/gate-01-unchanged-suite-both,2026-08-09,in-main,high,none,in-main,unread,"Merged ancestor. Deleted during cleanup with its modified test/e2e-browser/gate01-baseline.json judged regenerable BY NAME, without a content read - postmortem violation of the read-before-litter rule; the artifact is a gate-run output, recoverable by re-running the gate."
43,df1-harness-03-provider-fixtures,df1/harness-03-provider-fixtures,2026-08-09,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Df1 harness-03 provider fixtures
44,df1-harness-04-session-corpus,df1/harness-04-session-corpus,2026-08-09,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Df1 harness-04 session corpus
45,df1-harness-05-raw-clients,df1/harness-05-raw-clients,2026-08-09,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Df1 harness-05 raw clients
46,df1-harness-06-misc-fixtures,df1/harness-06-misc-fixtures,2026-08-09,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Df1 harness-06 misc fixtures
47,df1-harness-11-a11y-gate,df1/harness-11-a11y-gate,2026-08-09,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Df1 harness-11 a11y gate
48,df1-harness-12-leak-metrics,df1/harness-12-leak-metrics,2026-08-09,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Df1 harness-12 leak metrics
49,df1-harness-14-server-clock,df1/harness-14-server-clock,2026-08-09,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Df1 harness-14 server clock
50,df1-session-05-project-colors,df1/session-05-project-colors,2026-08-09,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Df1 session-05 project colors
51,df1-session-09-live-watching,df1/session-09-live-watching,2026-08-09,throw-away-useless,high,small,throw-away,read-litter,"Salvage complete 2026-08-23: the untracked 424-line WS-wire acceptance test was extracted to branch feat/session09-ws-acceptance-test (commit ded572266, pushed; needs revalidation vs watcher-era timing). What remains in this worktree is only the confirmed-poison main.rs diff ('TEMPORARY MUTATION (black-box red proof)') - discarding it on worktree deletion is correct. Feature itself was deliberately superseded on main (09495fe07). Salvage fully LANDED 2026-08-24 as PR #685 (test + the spurious-sessions.changed server fix it caught)."
52,df1-session-16-malformed-data,df1/session-16-malformed-data,2026-08-09,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Df1 session-16 malformed data
53,df1-term-04-dedupe-create,df1/term-04-dedupe-create,2026-08-09,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Df1 term-04 dedupe create
54,naming-persistence-sweep,feat/naming-persistence-sweep,2026-08-09,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Naming persistence sweep
55,ws-bootstrap-recovery-flake,the-usual/ws-bootstrap-recovery-flake,2026-08-09,throw-away-useless,high,none,throw-away,none,"Branch diff is byte-identical to PR #625 (squash-merged 2026-08-09, reverted same day in #626 ""pending further verification""). Branch adds nothing to git history; reviving = revert-of-revert that already failed the trust bar once."
56,df1-arb,DETACHED,2026-08-08,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Df1 arbitration checkpoint
57,fix-rust-specs-0q8k,the-usual/fix-rust-specs-0q8k,2026-08-08,in-main,high,none,in-main,none,All 9 rust-only e2e spec registrations already present in main's RUST_ONLY_SPECS.
58,pbh2-ro,DETACHED,2026-08-08,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Pbh2 read-only checkpoint
59,playwright-azure-cloud,feat/playwright-azure-cloud,2026-08-08,throw-away-useless,high,none,throw-away,none,"Single-commit Azure Playwright spike; project chose GCP Cloud Run. Script names (test:e2e:cloud) collide with main, so revival would need renaming, not merging."
60,multirow-last-row-width,fix/multirow-last-row-width,2026-08-07,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Multirow last-row width fix
61,tab-bar-multirow-sizing,feat/tab-bar-multirow-sizing,2026-08-07,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Tab bar multirow sizing
62,attention-bell-wrong-signals,fix/attention-bell-wrong-signals,2026-08-06,in-main,high,none,in-main,none,Squash-landed verbatim as PR #614 same day as last commit. 12/17 footprint files byte-identical to main; the other 5 differ only from post-merge forward evolution. Zero unmerged residue.
63,parity-campaign,parity-campaign-20260805,2026-08-06,throw-away-useless,high,none,throw-away,none,All 45 commits are ancestors of qa-campaign HEAD - the parity worktree is redundant; everything unlanded lives in qa-campaign.
64,qa-campaign,qa-campaign-20260806,2026-08-06,finish-work,high,small,finish-work,none,"Closed-loop QA campaign: 7 reviewed Node-oracle file fixes (mkdir ENOTDIR->409, ~\ tilde, etag, mime, UNC, sanitize, dot-seg) with proof tests never landed - main's files.rs is byte-identical to the Aug-6 merge-base. Live gap found: client BrowserPane.tsx converts file:// to /local-file?path= but the Rust server has no /local-file route."
65,remote-access-networking,feat/remote-access-networking,2026-08-06,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Remote access networking
66,windows-path-files,fix/windows-path-files,2026-08-04,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Windows path files fix
67,electron-latest,build/electron-latest,2026-08-01,in-main,high,none,in-main,none,Merged (ancestor of origin/main). Electron latest build
68,resilience-sprint,feat/resilience-sprint,2026-08-01,in-main,high,none,in-main,read-litter,"main inlined detached-session.sh into launch-rust.sh with richer comments; dirty entry is .resilience/ litter. Dirt read: .resilience/ was a symlink to externally-archived captures - safe litter, deleted with worktree."
69,deploy-compatibility-rollback,feat/deploy-compatibility-rollback,2026-07-31,finish-work,high,large,finish-work,none,"Complete, tested (~34k lines) immutable-generation deploy-rollback controller. UNPUSHED - worktree is the only copy. Main chose the simpler setsid+systemd route, so reviving is an architecture/product decision. ARCHIVED on origin 2026-08-23 (tip 9a91c2f4b verified via ls-remote by fresh-agent push) - worktree itself is now safe to delete; reviving remains an architecture/product decision."
70,restart-resumable-pane,feat/restart-resumable-pane,2026-07-31,finish-work,high,large,finish-work,none,"Complete Restart-pane transaction design (38 commits, 113 files) predating the reconnect-revive rework; capability concepts still relevant but needs a full re-port onto post-#677 main before any landing."
71,rest-codex-terminal-identity,fix/rest-terminal-identity-publication,2026-07-30,skipped-plan,high,none,skipped-plan,none,Handoff + plan docs only; feature landed via PR #584.
72,restart-recovery-hardening,feat/restart-recovery-hardening,2026-07-29,finish-work,high,medium,finish-work,read-useful,"Auto-restore crate mid-flight; 18/18 uncommitted files are real coherent WIP (+3,373 lines: Claude TOCTOU-hardened snapshot provider, NEW Codex exact-recovery provider (1,445 lines + 991-line test), CLAUDE_CONFIG_DIR NFC canonicalization). Caveat: coordinator.rs holds red-phase TDD that does not compile (RecoveryStoreDomain enum never written). DO NOT DELETE the worktree; commit WIP first. PROTECTED 2026-08-23: all 18 files checkpoint-committed as f3233d24a (honest red-TDD note) and pushed - worktree now clean, deletable at will. [useful dirt: crates/freshell-sessions/src/codex_exact.rs; crates/freshell-sessions/tests/codex_exact.rs; crates/freshell-freshagent/src/claude_snapshot.rs; crates/freshell-server/src/recovery_providers.rs; crates/freshell-platform/src/cli_launch.rs; crates/freshell-recovery/src/coordinator.rs; crates/freshell-claude-sidecar/index.mjs; crates/freshell-freshagent/src/claude.rs; crates/freshell-freshagent/src/lib.rs; crates/freshell-freshagent/src/terminal_tabs.rs; crates/freshell-platform/src/cli_launch_goldens.rs; crates/freshell-sessions/Cargo.toml; crates/freshell-sessions/src/lib.rs; crates/freshell-ws/src/terminal.rs; crates/freshell-freshagent/Cargo.toml; crates/freshell-platform/Cargo.toml; Cargo.toml; Cargo.lock]"
73,resume-button,feat/resume-button,2026-07-29,in-main,high,none,in-main,none,"Capability shipped via PR #583 (feat/resume-session-button), hardened in #586, Rust-ported in #592, simplified in #593. Branch is a strictly older snapshot; every distinctive file exists on main in evolved form."
74,tab-bar-visual-overhaul,feat/tab-bar-visual-overhaul,2026-07-29,throw-away-useless,medium,none,throw-away,none,Fixed-width tab-bar design never adopted; PR #596 superseded the width approach. No plans/tests/docs worth keeping.
